feature,gender,median_income,number_of_jobs,PROPORTION
0-5 years,Females,<10k,562.786,0.0033327039451035287
0-5 years,Females,10k-20k,6146.851,0.03640039833553708
0-5 years,Females,20k-30k,5841.231,0.0345905790086481
0-5 years,Females,30k-50k,2759.177,0.016339283623151464
0-5 years,Females,50k-70k,372.31,0.002204743909410495
0-5 years,Females,70k-90k,31.215,0.00018484886554819533
0-5 years,Females,90k-110k,3.087,1.8280584589052667e-05
0-5 years,Females,110k-130k,0.558,3.304362228924972e-06
0-5 years,Females,130-150k,0.0,0.0
0-5 years,Females,>150k,0.0,0.0
0-5 years,Males,<10k,284.429,0.0016843305455392485
0-5 years,Males,10k-20k,2469.632,0.014624657168717628
0-5 years,Males,20k-30k,3471.593,0.020558065920072272
0-5 years,Males,30k-50k,6410.129,0.03795947697157097
0-5 years,Males,50k-70k,2238.534,0.013256141931477299
0-5 years,Males,70k-90k,576.174,0.0034119849514132913
0-5 years,Males,90k-110k,65.88,0.0003901279276730773
0-5 years,Males,110k-130k,37.772,0.00022367808263611832
0-5 years,Males,130-150k,3.151,1.8659579540040475e-05
0-5 years,Males,>150k,0.035,2.0726286382145883e-07
11+ years,Females,<10k,985.783,0.005837605933900261
11+ years,Females,10k-20k,6314.076,0.03739067068989547
11+ years,Females,20k-30k,13294.182,0.07872543524239112
11+ years,Females,30k-50k,17839.824,0.10564380035173693
11+ years,Females,50k-70k,2050.919,0.01214512415445264
11+ years,Females,70k-90k,170.947,0.0010123132794767691
11+ years,Females,90k-110k,60.735,0.00035966028669132284
11+ years,Females,110k-130k,0.177,1.048157911325663e-06
11+ years,Females,130-150k,0.028,1.6581029105716704e-07
11+ years,Females,>150k,0.0,0.0
11+ years,Males,<10k,593.054,0.0035119448697363263
11+ years,Males,10k-20k,3171.3650000000002,0.01878017691780402
11+ years,Males,20k-30k,6537.503,0.03871375982918224
11+ years,Males,30k-50k,20741.504,0.12282695768583551
11+ years,Males,50k-70k,8873.6,0.05254764995445991
11+ years,Males,70k-90k,2710.136,0.016048872820160945
11+ years,Males,90k-110k,269.662,0.0015968833823949205
11+ years,Males,110k-130k,224.542,0.0013296919419485142
11+ years,Males,130-150k,166.716,0.0009872581601388093
11+ years,Males,>150k,0.011,6.513975720102991e-08
6-10 years,Females,<10k,514.8629999999999,0.003048913710163078
6-10 years,Females,10k-20k,4962.869,0.029389098334592554
6-10 years,Females,20k-30k,11535.579,0.06831134683939086
6-10 years,Females,30k-50k,8250.324,0.04885673656271181
6-10 years,Females,50k-70k,913.319,0.005408488900644312
6-10 years,Females,70k-90k,65.105,0.0003855385356884593
6-10 years,Females,90k-110k,15.692,9.292482454532376e-05
6-10 years,Females,110k-130k,1.461,8.651744115518608e-06
6-10 years,Females,130-150k,0.0,0.0
6-10 years,Females,>150k,0.0,0.0
6-10 years,Males,<10k,223.494,0.001323485899626089
6-10 years,Males,10k-20k,2997.882,0.017752845963394357
6-10 years,Males,20k-30k,3822.28,0.022634762832213873
6-10 years,Males,30k-50k,13520.593,0.08006619502126769
6-10 years,Males,50k-70k,5096.825,0.030182358454194477
6-10 years,Males,70k-90k,1322.19,0.007829739597602704
6-10 years,Males,90k-110k,145.39000000000001,0.0008609699363143399
6-10 years,Males,110k-130k,146.373,0.0008667910618896682
6-10 years,Males,130-150k,35.747,0.00021168644551501964
6-10 years,Males,>150k,0.067,3.96760339315364e-07
